id,slug,name,pop2010,pop2010_18,_bookings,_jaildays,_cost,_sex_m,_sex_f,_race_h,_race_b,_race_w,_race_o2,_charge_m,_charge_f,_charge_o
59,east-hollywood,East Hollywood,69639,55047,516,9981,1.48791e+006,414,102,268,117,97,34,276,234,6
69,elysian-park,Elysian Park,1894,1510,21,441,65160.9,16,5,11,3,3,4,13,8,0
189,south-diamond-bar,South Diamond Bar,2823,0,,,,,,,,,,,,
208,tujunga-canyons,Tujunga Canyons,2857,2257,133,3349,486289,104,29,19,4,108,2,69,63,1
213,universal-city,Universal City,0,0,,,,,,,,,,,,
160,porter-ranch,Porter Ranch,26514,20921,91,1284,199362,71,20,15,11,50,15,49,42,0
242,windsor-square,Windsor Square,4652,3597,47,1033,151926,39,8,32,7,6,2,20,27,0
29,calabasas,Calabasas,24159,17936,415,3726,627260,287,128,32,32,313,38,250,162,3
138,north-el-monte,North El Monte,3151,2498,91,2408,348157,65,26,50,4,21,16,50,40,1
218,van-nuys,Van Nuys,106451,78868,664,11993,1.80205e+006,510,154,375,105,141,43,340,318,6
22,beverly-grove,Beverly Grove,20998,19180,112,914,157162,83,29,17,13,75,7,62,48,2
190,southeast-antelope-valley,Southeast Antelope Valley,8149,6400,490,15623,2.2264e+006,373,117,116,47,313,14,207,281,2
57,eagle-rock,Eagle Rock,32166,26241,155,3663,534961,108,47,89,18,32,16,71,80,4
188,silver-lake,Silver Lake,29228,25107,149,2142,331673,106,43,71,28,41,9,80,66,3
173,san-dimas,San Dimas,34105,26913,1148,16156,2.50944e+006,877,271,465,99,533,51,693,440,15
96,industry,Industry,18943,14307,250,5114,757721,201,49,214,3,23,10,161,88,1
225,west-adams,West Adams,23349,16768,315,6272,932007,257,58,138,160,15,2,158,152,4
174,san-fernando,San Fernando,23645,16704,212,3637,549925,174,38,182,6,22,2,125,85,2
75,glassell-park,Glassell Park,24064,18192,129,3470,501015,104,25,95,7,20,7,65,64,0
116,leona-valley,Leona Valley,3553,2720,68,2119,302472,44,24,12,1,53,2,34,32,2
148,palmdale,Palmdale,152443,101857,16394,387392,5.65769e+007,12445,3949,7958,5083,3098,255,8168,8043,177
1,acton,Acton,6128,4804,396,7367,1.10312e+006,294,102,76,8,306,6,212,181,3
2,westside-south-central,Westside South Central,498465,365939,19926,373501,5.58786e+007,15526,4400,7077,12252,473,124,8990,10712,221
9,arcadia,Arcadia,542,463,262,2889,467051,189,73,83,8,96,75,156,106,0
5,alhambra,Alhambra,3535,2861,751,16637,2.44492e+006,573,178,512,19,104,116,385,357,9
66,el-monte,El Monte,114708,82051,4027,80463,1.19521e+007,3243,784,3453,61,320,193,2280,1707,40
244,woodland-hills,Woodland Hills,62339,50389,382,4181,676836,280,102,54,47,245,36,238,142,2
212,unincorporated-santa-susana-mountains,Unincorporated Santa Susana Mountains,15215,10667,152,2113,328803,118,34,35,18,93,6,97,55,0
202,sylmar,Sylmar,78893,56065,752,13934,2.08742e+006,573,179,548,48,140,16,429,316,7
77,glendora,Glendora,53856,41816,710,13676,2.0397e+006,544,166,314,23,341,32,440,257,13
147,pacoima,Pacoima,77868,53119,642,10142,1.54991e+006,499,143,521,89,30,2,387,253,1
140,north-hollywood,North Hollywood,76581,59583,409,5898,912852,305,104,205,58,131,15,242,162,5
132,monrovia,Monrovia,37254,28611,672,8618,1.35785e+006,510,162,336,104,203,29,401,259,12
114,lawndale,Lawndale,32769,23842,1945,24827,3.91468e+006,1662,283,1160,252,444,89,814,1114,17
206,topanga,Topanga,6151,4879,177,2172,344686,141,36,7,7,160,3,105,71,1
117,lincoln-heights,Lincoln Heights,26605,19379,330,6252,934203,263,67,280,15,15,20,163,151,16
70,elysian-valley,Elysian Valley,6889,5299,35,540,82787.4,32,3,30,0,1,4,18,17,0
46,covina,Covina,53063,39669,1200,20780,3.13836e+006,905,295,694,78,361,67,724,466,10
153,pasadena,Pasadena,140137,112997,2164,38285,5.76697e+006,1671,493,932,751,422,59,1278,857,29
49,cypress-park,Cypress Park,8876,6379,101,1619,246938,70,31,81,6,6,8,53,47,1
164,rancho-palos-verdes,Rancho Palos Verdes,41967,32481,411,4500,728430,294,117,50,37,254,70,229,181,1
110,lancaster,Lancaster,151745,106153,19910,559316,8.04716e+007,14926,4984,5479,8626,5566,239,8131,11544,231
7,altadena,Altadena,8557,6249,1803,31710,4.77999e+006,1481,322,598,889,271,45,1004,776,23
123,lynwood,Lynwood,68736,46137,5916,111077,1.66148e+007,5079,837,4638,1139,99,40,2546,3322,48
179,santa-clarita,Santa Clarita,184649,135033,8826,140529,2.14533e+007,6701,2125,3274,551,4640,361,5098,3689,33
100,la-canada-flintridge,La Canada Flintridge,19380,14270,61,193,45247.5,41,20,3,2,44,12,36,23,2
30,canoga-park,Canoga Park,58943,43538,391,3546,595681,310,81,222,44,111,14,248,139,4
229,west-covina,West Covina,103188,77809,2535,39302,6.0214e+006,1919,616,1830,142,365,198,1500,1016,19
228,west-compton,West Compton,5150,3636,601,15103,2.19341e+006,487,114,242,345,11,3,246,349,6
162,ramona,Ramona,3931,3144,62,825,129235,48,14,19,4,23,16,35,27,0
236,west-san-dimas,West San Dimas,0,0,2,6,1440.12,2,0,1,0,1,0,1,1,0
48,culver-city,Culver City,36672,29764,182,2120,339417,145,37,67,42,63,10,93,84,5
93,hollywood-hills-west,Hollywood Hills West,16324,14227,121,1412,225994,98,23,25,11,79,6,78,43,0
19,bell-gardens,Bell Gardens,41571,27445,1218,20235,3.07203e+006,962,256,1136,14,63,5,612,595,11
84,harbor-city,Harbor City,23727,17531,728,12070,1.83291e+006,545,183,334,136,209,49,410,311,7
222,vincent,Vincent,9965,7160,980,18349,2.7455e+006,778,202,735,45,177,23,569,406,4
15,azusa,Azusa,43729,31184,1206,21271,3.2053e+006,979,227,952,47,172,35,738,448,20
171,rosemead,Rosemead,51859,39955,2350,47652,7.06703e+006,1822,528,1720,33,185,412,1203,1112,35
224,walnut-park,Walnut Park,15966,11224,1085,18842,2.84467e+006,924,161,1053,20,12,0,491,585,6
105,lake-hughes,Lake Hughes,0,0,24,119,23503.3,18,6,2,1,21,0,18,6,0
78,granada-hills,Granada Hills,53692,42122,338,6777,1.00629e+006,231,107,106,30,164,38,175,162,1
35,century-city,Century City,5713,5054,19,139,24536.3,13,6,1,4,12,2,13,6,0
146,pacific-palisades,Pacific Palisades,24476,18565,93,744,128522,67,26,19,2,65,7,67,26,0
204,temple-city,Temple City,35048,27633,852,14560,2.20258e+006,664,188,391,18,285,158,449,395,8
120,long-beach,Long Beach,465275,349458,9234,158306,2.39384e+007,6914,2320,3999,2738,1896,601,4982,4094,155
32,carthay,Carthay,5068,4129,79,1217,186617,52,27,56,6,15,2,43,36,0
240,whittier-narrows,Whittier Narrows,2511,1799,11,115,18775.8,7,4,10,0,1,0,5,6,0
182,sawtelle,Sawtelle,35269,31479,202,2786,434041,156,46,50,54,84,14,129,72,1
243,winnetka,Winnetka,48788,37057,249,4148,629519,192,57,102,34,97,16,146,103,0
216,valley-village,Valley Village,24039,20099,87,404,81575.6,71,16,24,14,44,5,49,37,1
36,cerritos,Cerritos,49041,39028,1071,12663,2.02218e+006,859,212,309,224,237,301,583,486,2
