_sex_f,_charge_o,_charge_m,_charge_f,_jaildays,_race_o2,_race_w,_race_h,_race_b,_sex_m,_bookings,pop2010_18over,pop2010,name,slug,_cost
112,5,368,260,17126,11,130,486,6,521,633,10791,17532,Citrus,citrus,2267462.8
7,0,8,2,108,0,3,6,1,3,10,7004,9023,Cheviot Hills,cheviot-hills,14619.96
3242,162,7304,10196,445469,58,264,10656,6684,14420,17662,227246,349795,Eastside South Central,eastside-south-central,58971509.14
177,9,450,576,26171,9,17,994,15,858,1035,15480,23805,Cudahy,cudahy,3464839.9
129,4,431,369,26005,36,142,500,126,675,804,16584,21321,Duarte,duarte,3442864.82
46,3,104,110,5495,25,65,110,17,171,217,44656,57959,Valley Glen,valley-glen,727751.02
81,4,225,195,10360,29,80,215,100,343,424,55047,69639,East Hollywood,east-hollywood,1371779.72
18,0,41,32,2329,0,12,22,39,55,73,2156,2666,Rancho Dominguez,rancho-dominguez,308635.94
102,3,230,166,2639,12,332,43,12,297,399,12643,17147,Agoura Hills,agoura-hills,349673.74
618,24,1956,1594,90349,65,260,3183,66,2956,3574,28643,40174,La Puente,la-puente,11960723.54
23,2,75,49,1958,6,75,29,16,103,126,20888,23245,Hollywood Hills,hollywood-hills,259522.96
15,0,31,38,1305,5,50,5,9,54,69,16413,19506,Hermosa Beach,hermosa-beach,173078.82
6,0,17,20,1153,1,3,30,3,31,37,91,112,Vernon,vernon,152957.06
97,2,169,234,16450,12,264,92,37,308,405,6400,8149,Southeast Antelope Valley,southeast-antelope-valley,2177973.92
136,16,409,314,16123,7,96,620,16,603,739,11494,15549,Santa Fe Springs,santa-fe-springs,2134685.66
81,4,188,136,7142,14,113,155,46,247,328,59583,76581,North Hollywood,north-hollywood,945780.88
247,15,530,620,22914,79,130,430,526,918,1165,45419,58829,Gardena,gardena,3033678.24
93,5,222,177,7070,96,31,263,14,311,404,32087,38873,San Gabriel,san-gabriel,936249.52
5,0,6,10,225,0,13,3,0,11,16,0,0,Green Valley,green-valley,30108.42
